year,movie title,rating,genre,star,director,writer,country,company,score,votes,budget,gross,gross us,gross overseas,runtime,released,more success overseas
2003,A Man Apart,R,Action,Vin Diesel,F. Gary Gray,Christian Gudegast,USA,"""DIA"" Productions GmbH & Co. KG",6.1,40381,36000000,,26183197,,109,4/4/2003,UNK
2000,Yi Yi,NOT RATED,Drama,Nien-Jen Wu,Edward Yang,Edward Yang,Taiwan,1+2 Seisaku Iinkai,8.1,14617,0,,1136776,,173,12/16/2000,UNK
1998,Chairman of the Board,PG-13,Comedy,Scott 'Carrot Top' Thompson,Alex Zamm,Al Septien,USA,101st Street Films,2.3,5356,0,,306715,,100,9/18/1998,UNK
2010,The Romantics,PG-13,Comedy,Katie Holmes,Galt Niederhoffer,Galt Niederhoffer,USA,10th Hole Productions,5.1,10547,4500000,,103280,,100,5/26/2010,UNK
2002,Irreversible,NOT RATED,Crime,Monica Bellucci,Gaspar Noé,Gaspar Noé,France,120 Films,7.4,95140,0,,753501,,97,5/22/2002,UNK
2000,Werckmeister Harmonies,Not specified,Drama,Lars Rudolph,Béla Tarr,László Krasznahorkai,Hungary,13 Productions,8.3,9773,0,,25461,,145,2/1/2001,UNK
1999,Bicentennial Man,PG,Comedy,Robin Williams,Chris Columbus,Isaac Asimov,USA,1492 Pictures,6.8,94773,100000000,,58220776,,132,12/17/1999,UNK
1996,Jingle All the Way,PG,Comedy,Arnold Schwarzenegger,Brian Levant,Randy Kornfield,USA,1492 Pictures,5.5,74318,60000000,,60573641,,89,11/22/1996,UNK
2015,Jane Got a Gun,R,Action,Natalie Portman,Gavin O'Connor,Brian Duffield,USA,1821 Pictures,5.9,15689,25000000,,1512815,,98,1/29/2016,UNK
2003,From Justin to Kelly,PG,Comedy,Kelly Clarkson,Robert Iscove,Kim Fuller,USA,19 Entertainment,2.1,23990,12000000,,4922166,,81,6/20/2003,UNK
2014,A Walk Among the Tombstones,R,Crime,Liam Neeson,Scott Frank,Lawrence Block,USA,1984 Private Defense Contractors,6.5,95753,28000000,,26307600,,114,9/19/2014,UNK
1995,Senior Trip,R,Adventure,Matt Frewer,Kelly Makin,Roger Kumble,Canada,1992 Number Four Limited Partnership,5.6,4845,0,,4686937,,91,9/8/1995,UNK
2002,May,R,Drama,Angela Bettis,Lucky McKee,Lucky McKee,USA,2 Loop Films,6.7,28449,500000,,150277,,93,4/11/2003,UNK
2007,Persépolis,PG-13,Animation,Chiara Mastroianni,Vincent Paronnaud,Marjane Satrapi,France,2.4.7. Films,8.1,75802,7300000,,4443403,,96,2/22/2008,UNK
2004,A Very Long Engagement,R,Drama,Audrey Tautou,Jean-Pierre Jeunet,Sébastien Japrisot,France,2003 Productions,7.7,65330,47000000,,6167817,,133,1/14/2005,UNK
2016,The Wailing,NOT RATED,Drama,Jun Kunimura,Hong-jin Na,Hong-jin Na,South Korea,20th Century Fox,7.5,21562,0,,785405,,156,6/3/2016,UNK
2014,This Is Where I Leave You,R,Comedy,Jason Bateman,Shawn Levy,Jonathan Tropper,USA,21 Laps Entertainment,6.6,59852,19800000,,34290142,,103,9/19/2014,UNK
1994,Death Wish V: The Face of Death,R,Action,Charles Bronson,Allan A. Goldstein,Brian Garfield,USA,21st Century Film Corporation,4.7,5329,5000000,,1702394,,95,1/14/1994,UNK
1990,Night of the Living Dead,R,Horror,Tony Todd,Tom Savini,John A. Russo,USA,21st Century Film Corporation,6.9,33142,4200000,,5835247,,92,10/19/1990,UNK
1990,The Forbidden Dance,PG-13,Drama,Laura Harring,Greydon Clark,Menahem Golan,USA,21st Century Film Corporation,3.4,1340,0,,1823154,,97,3/16/1990,UNK
1989,The Phantom of the Opera,R,Drama,Robert Englund,Dwight H. Little,Gaston Leroux,USA,21st Century Film Corporation,5.5,3032,0,,3953745,,93,11/3/1989,UNK
2002,25th Hour,R,Drama,Edward Norton,Spike Lee,David Benioff,USA,25th Hour Productions,7.7,156154,5000000,,13060843,,135,1/10/2003,UNK
2009,My Life in Ruins,PG-13,Comedy,Nia Vardalos,Donald Petrie,Mike Reiss,USA,26 Films,5.9,16145,17000000,,8662318,,98,6/5/2009,UNK
2014,Serena,R,Drama,Bradley Cooper,Susanne Bier,Christopher Kyle,Czech Republic,2929 Productions,5.4,20668,30000000,,176305,,109,2/26/2015,UNK
2008,The Burning Plain,R,Crime,Charlize Theron,Guillermo Arriaga,Guillermo Arriaga,USA,2929 Productions,6.8,16366,20000000,,200399,,107,7/23/2010,UNK
2012,Tim and Eric's Billion Dollar Movie,R,Comedy,Tim Heidecker,Tim Heidecker,Tim Heidecker,USA,2929 Productions,5.3,8478,3000000,,200803,,93,1/27/2012,UNK
2008,Two Lovers,R,Drama,Joaquin Phoenix,James Gray,James Gray,USA,2929 Productions,7.1,31508,12000000,,3148482,,110,3/20/2009,UNK
2008,What Just Happened,R,Comedy,Robert De Niro,Barry Levinson,Art Linson,USA,2929 Productions,5.7,24511,25000000,,1090947,,104,10/31/2008,UNK
2015,Burnt,R,Comedy,Bradley Cooper,John Wells,Steven Knight,USA,3 Arts Entertainment,6.6,80803,20000000,,13650738,,101,10/30/2015,UNK
2001,Estrenando Cuerpo,PG-13,Comedy,Chris Rock,Chris Weitz,Elaine May,Germany,3 Arts Entertainment,5.4,19724,49000000,,64186502,,87,2/16/2001,UNK
1997,Picture Perfect,PG-13,Comedy,Jennifer Aniston,Glenn Gordon Caron,Arleen Sorkin,USA,3 Arts Entertainment,5.5,16867,10000000,,31058643,,105,8/1/1997,UNK
2013,The To Do List,R,Comedy,Aubrey Plaza,Maggie Carey,Maggie Carey,USA,3 Arts Entertainment,5.8,32105,1500000,,3447339,,104,7/26/2013,UNK
2014,Unbroken,PG-13,Biography,Jack O'Connell,Angelina Jolie,Joel Coen,USA,3 Arts Entertainment,7.2,117590,65000000,,115637895,,137,12/25/2014,UNK
1999,Pushing Tin,R,Comedy,John Cusack,Mike Newell,Darcy Frey,USA,3 Miles Apart Productions Ltd.,6,25713,33000000,,8406264,,124,4/23/1999,UNK
2013,In a World...,R,Comedy,Lake Bell,Lake Bell,Lake Bell,USA,3311 Productions,6.7,27802,0,,2962542,,100,9/13/2013,UNK
2007,I Know Who Killed Me,R,Mystery,Lindsay Lohan,Chris Sivertson,Jeff Hammond,USA,360 Pictures,3.6,23832,12000000,,7498716,,100,7/27/2007,UNK
1998,West Beirut,PG-13,Comedy,Rami Doueiri,Ziad Doueiri,Ziad Doueiri,France,38 Productions,7.8,2545,800000,,343229,,105,10/30/1998,UNK
1998,High Art,R,Drama,Radha Mitchell,Lisa Cholodenko,Lisa Cholodenko,USA,391 Productions,6.7,8834,0,,1929168,,101,6/12/1998,UNK
1999,Julien Donkey-Boy,R,Comedy,Ewen Bremner,Harmony Korine,Harmony Korine,USA,391 Productions,6.7,5692,0,,80226,,94,9/13/2000,UNK
2003,29 palmas - Pasiones salvajes,UNRATED,Drama,Yekaterina Golubeva,Bruno Dumont,Bruno Dumont,France,3B Productions,5.2,3679,0,,54523,,114,9/17/2003,UNK
1999,Humanité,Not specified,Drama,Emmanuel Schotté,Bruno Dumont,Bruno Dumont,France,3B Productions,6.9,3105,0,,113495,,148,10/27/1999,UNK
2001,The Other Side of Heaven,PG,Adventure,Christopher Gorham,Mitch Davis,Mitch Davis,USA,3Mark Entertainment,6.5,3408,7000000,,4720371,,113,4/12/2002,UNK
2000,Pokémon 3: The Movie,G,Animation,Rica Matsumoto,Kunihiko Yuyama,Norman J. Grossfeld,Japan,4 Kids Entertainment,5.7,10090,16000000,,17052128,,93,4/6/2001,UNK
1999,Pokémon: The Movie 2000,G,Animation,Rica Matsumoto,Michael Haigney,Satoshi Tajiri,Japan,4 Kids Entertainment,6,16683,30000000,,43758684,,84,7/21/2000,UNK
2004,Yu-Gi-Oh!: The Movie,PG,Animation,Dan Green,Hatsuki Tsuji,Masahiro Hikokubo,Japan,4 Kids Entertainment,4.6,6776,20000000,,19762690,,100,8/13/2004,UNK
2015,Chi-Raq,R,Comedy,Nick Cannon,Spike Lee,Kevin Willmott,USA,40 Acres & A Mule Filmworks,5.7,6983,0,,2647377,,127,12/2/2016,UNK
1989,Do the Right Thing,R,Comedy,Danny Aiello,Spike Lee,Spike Lee,USA,40 Acres & A Mule Filmworks,7.9,65617,6500000,,27545445,,120,7/21/1989,UNK
2000,Love & Basketball,PG-13,Drama,Sanaa Lathan,Gina Prince-Bythewood,Gina Prince-Bythewood,USA,40 Acres & A Mule Filmworks,7.2,15454,20000000,,27441122,,124,4/21/2000,UNK
2008,Miracle at St. Anna,R,Action,Derek Luke,Spike Lee,James McBride,USA,40 Acres & A Mule Filmworks,6,16239,45000000,,7916887,,160,9/26/2008,UNK
1995,New Jersey Drive,R,Crime,Shar-Ron Corley,Nick Gomez,Nick Gomez,USA,40 Acres & A Mule Filmworks,6.7,2341,5000000,,3565508,,98,4/19/1995,UNK
